,Framework,Category,Issue.ID,Author,Date.Opened,Number.of.Comment.s.,Date.of.first.comment,Date.of.last.time.closed,Time.before.first.comment..in.minutes.,Time.before.issue.last.closed..in.minutes.,Number.of.participants..including.the.author.and.people.who.did.not.comment.on.the.issue.thread.,Number.of.commentators,Commentators..username.alongside.the.number.of.comments.posted.,Issue.labels
11,Pytorch,Matrix computation inefficiency,17206,t-vi,2019-02-16 21:55,6,2019-02-16 22:44,2019-02-22 6:57,48.71666667,7741.416667,3,3,"{'fehiepsi': 3, 't-vi': 2, 'soumith': 1}",['No labels']
12,Pytorch,Matrix computation inefficiency,34714,jjabo,2020-03-13 13:26,5,2020-03-16 16:35,2020-03-18 0:51,4508.933333,6444.55,4,4,"{'agolynski': 1, 'neerajprad': 2, 'jjabo': 1, 'fritzo': 1}","['module:distributions', 'module:performance', 'triaged']"
13,Pytorch,Memory inefficiency,13243,shhshn,2018-10-29 9:18,4,2018-10-29 14:43,2018-10-30 15:34,325.2333333,1816.05,4,3,"{'ezyang': 1, 'albanD': 2, 'apaszke': 1}",['highpriority']
14,Pytorch,Memory inefficiency,23580,jacobrgardner,2019-07-31 0:34,9,2019-07-31 3:05,2019-08-03 5:36,150.05,4621.333333,4,3,"{'SsnL': 1, 'vishwakftw': 6, 'jacobrgardner': 2}","['module:performance', 'triagereview']"
15,TensorFlow,Memory inefficiency,27692,markste-in,2019-04-09 18:15,10,2019-04-18 21:43,2019-05-26 20:21,13168.76667,67806.68333,7,4,"{'alextp': 4, 'superbobry': 4, 'rsmbyk': 1, 'tensorflow-bot': 1}","['TF2.0', 'comp:ops', 'type:bug']"
16,Pytorch,Memory inefficiency,42371,rotabulo,2020-07-31 16:47,12,2020-08-03 4:51,2020-10-19 18:16,3604.716667,115289.4167,8,5,"{'ngimel': 2, 'gchanan': 1, 'mruberry': 1, 'albanD': 2, 'kurtamohler': 6}","['highpriority', 'module:autograd', 'module:memoryusage', 'module:nn', 'triaged']"
17,Pytorch,Memory inefficiency,45669,kurtamohler,2020-10-01 14:36,0,No comments,2020-10-08 18:00,No comments,10284.15,3,0,{},"['module:linearalgebra', 'module:performance', 'triaged']"
18,Pytorch,Memory inefficiency,5169,ngimel,2018-02-10 2:26,6,2018-02-14 17:56,2018-04-20 15:51,6689.25,100164.8333,4,4,"{'ngimel': 2, 'colesbury': 2, 'csarofeen': 1, 'soumith': 1}","['highpriority', 'module:performance']"
19,Pytorch,Memory inefficiency,5611,dmarnerides,2018-03-07 15:51,2,2018-03-08 1:16,2018-03-15 14:44,565.1666667,11452.9,5,2,"{'SsnL': 1, 'zou3519': 1}",['highpriority']
20,Pytorch,Memory inefficiency,6222,xichangzun,2018-04-03 7:12,1,2018-04-03 15:07,2018-04-03 19:47,475.2666667,755.3333333,2,1,{'zou3519': 1},['No labels']
